"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","no_effects","ave_effect","lines","assocs","host","cat_rhiz","cat_sym","pleio_type","trait_combs","host_pleio","pleio","sig"
"freebayes-snp-psymb-673738-A","pSymB","673738",673430,674461,0.058,0.056,"MODERATE","NP_437097.1","LacI family transcriptional regulator","ASP62128.1","CDO30_28410","gene-CDO30_RS28440",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-673844-G","pSymB","673844",673430,674461,0.131,0.124,"LOW","NP_437097.1","LacI family transcriptional regulator","ASP62128.1","CDO30_28410","gene-CDO30_RS28440",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-673886-G","pSymB","673886",673430,674461,0.455,0.494,"LOW","NP_437097.1","LacI family transcriptional regulator","ASP62128.1","CDO30_28410","gene-CDO30_RS28440",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-674060-G","pSymB","674060",673430,674461,0.393,0.438,"LOW","NP_437097.1","LacI family transcriptional regulator","ASP62128.1","CDO30_28410","gene-CDO30_RS28440",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-674261-A","pSymB","674261",673430,674461,0.052,0.079,"LOW","NP_437097.1","LacI family transcriptional regulator","ASP62128.1","CDO30_28410","gene-CDO30_RS28440",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-674285-A","pSymB","674285",673430,674461,0.277,0.258,"LOW","NP_437097.1","LacI family transcriptional regulator","ASP62128.1","CDO30_28410","gene-CDO30_RS28440",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-674553-G","pSymB","674553",NA,NA,0.141,0.157,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS28440-gene-CDO30_RS28445",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-674681-A","pSymB","674681",674667,675758,0.063,0.056,"LOW","NP_437098.2","fatty acid desaturase","ASP62129.1","CDO30_28415","gene-CDO30_RS28445",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-674759-C","pSymB","674759",674667,675758,0.11,0.124,"LOW","NP_437098.2","fatty acid desaturase","ASP62129.1","CDO30_28415","gene-CDO30_RS28445",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-674810-T","pSymB","674810",674667,675758,0.141,0.169,"LOW","NP_437098.2","fatty acid desaturase","ASP62129.1","CDO30_28415","gene-CDO30_RS28445",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-675785-G","pSymB","675785",NA,NA,0.089,0.09,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS28445-gene-CDO30_RS28450",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-675902-T","pSymB","675902",675801,676118,0.084,0.101,"LOW","NP_437099.1","Rieske family ferredoxin","ASP62130.1","CDO30_28420","gene-CDO30_RS28450",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676004-C","pSymB","676004",675801,676118,0.089,0.101,"LOW","NP_437099.1","Rieske family ferredoxin","ASP62130.1","CDO30_28420","gene-CDO30_RS28450",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676025-A","pSymB","676025",675801,676118,0.068,0.067,"LOW","NP_437099.1","Rieske family ferredoxin","ASP62130.1","CDO30_28420","gene-CDO30_RS28450",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676052-T","pSymB","676052",675801,676118,0.089,0.101,"LOW","NP_437099.1","Rieske family ferredoxin","ASP62130.1","CDO30_28420","gene-CDO30_RS28450",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676402-G","pSymB","676402",676228,677454,0.147,0.101,"MODERATE","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676548-G","pSymB","676548",676228,677454,0.073,0.079,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676740-G","pSymB","676740",676228,677454,0.089,0.056,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676782-C","pSymB","676782",676228,677454,0.11,0.146,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676815-G","pSymB","676815",676228,677454,0.058,0.067,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676875-G","pSymB","676875",676228,677454,0.099,0.124,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676923-G","pSymB","676923",676228,677454,0.11,0.135,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676935-T","pSymB","676935",676228,677454,0.105,0.135,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-676986-T","pSymB","676986",676228,677454,0.126,0.079,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-677052-T","pSymB","677052",676228,677454,0.141,0.18,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-677115-A","pSymB","677115",676228,677454,0.068,0.09,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-677121-A","pSymB","677121",676228,677454,0.089,0.09,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-677286-C","pSymB","677286",676228,677454,0.11,0.079,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-677624-A","pSymB","677624",677535,678335,0.089,0.101,"LOW","NP_437101.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","ASP62132.1","CDO30_28430","gene-CDO30_RS28460",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-678110-C","pSymB","678110",677535,678335,0.094,0.112,"LOW","NP_437101.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","ASP62132.1","CDO30_28430","gene-CDO30_RS28460",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-678158-T","pSymB","678158",677535,678335,0.084,0.124,"LOW","NP_437101.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","ASP62132.1","CDO30_28430","gene-CDO30_RS28460",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-678253-G","pSymB","678253",677535,678335,0.12,0.079,"MODERATE","NP_437101.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","ASP62132.1","CDO30_28430","gene-CDO30_RS28460",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-68134-G","pSymB","68134",67538,68812,0.435,0.483,"LOW","NP_436541.1","sugar ABC transporter substrate-binding protein","ASP61589.1","CDO30_25420","gene-CDO30_RS25445",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-69097-T","pSymB","69097",68906,69802,0.094,0.101,"LOW","NP_436542.1","sugar ABC transporter permease","ASP61590.1","CDO30_25425","gene-CDO30_RS25450",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-691318-A","pSymB","691318",690508,691839,0.068,0.112,"LOW","YP_001313710.1","RkpR%2C polysaccharide export protein","ASP62143.1","CDO30_28495","gene-CDO30_RS28525",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-691936-A","pSymB","691936",691840,692499,0.063,0.067,"LOW","NP_437115.1","ABC transporter ATP-binding protein","ASP62144.1","CDO30_28500","gene-CDO30_RS28530",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-691948-A","pSymB","691948",691840,692499,0.162,0.169,"LOW","NP_437115.1","ABC transporter ATP-binding protein","ASP62144.1","CDO30_28500","gene-CDO30_RS28530",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-692005-A","pSymB","692005",691840,692499,0.084,0.067,"LOW","NP_437115.1","ABC transporter ATP-binding protein","ASP62144.1","CDO30_28500","gene-CDO30_RS28530",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-692104-C","pSymB","692104",691840,692499,0.089,0.056,"LOW","NP_437115.1","ABC transporter ATP-binding protein","ASP62144.1","CDO30_28500","gene-CDO30_RS28530",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-692461-A","pSymB","692461",691840,692499,0.168,0.169,"LOW","NP_437115.1","ABC transporter ATP-binding protein","ASP62144.1","CDO30_28500","gene-CDO30_RS28530",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-692558-T","pSymB","692558",692496,693266,0.12,0.067,"MODERATE","YP_001313708.1","sugar ABC transporter","ASP63056.1","CDO30_28505","gene-CDO30_RS28535",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-693099-T","pSymB","693099",692496,693266,0.152,0.101,"LOW","YP_001313708.1","sugar ABC transporter","ASP63056.1","CDO30_28505","gene-CDO30_RS28535",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-693183-A","pSymB","693183",692496,693266,0.073,0.056,"LOW","YP_001313708.1","sugar ABC transporter","ASP63056.1","CDO30_28505","gene-CDO30_RS28535",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-693374-A","pSymB","693374",693272,694570,0.068,0.112,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-693560-G","pSymB","693560",693272,694570,0.105,0.146,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-693722-A","pSymB","693722",693272,694570,0.126,0.135,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-693971-G","pSymB","693971",693272,694570,0.089,0.09,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-694133-A","pSymB","694133",693272,694570,0.073,0.112,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-694181-G","pSymB","694181",693272,694570,0.366,0.348,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-694469-T","pSymB","694469",693272,694570,0.089,0.067,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-694502-T","pSymB","694502",693272,694570,0.115,0.09,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-694523-A","pSymB","694523",693272,694570,0.089,0.079,"LOW","NP_437117.1","cell surface protein","ASP62145.1","CDO30_28510","gene-CDO30_RS28540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-69471-G","pSymB","69471",68906,69802,0.476,0.449,"MODERATE","NP_436542.1","sugar ABC transporter permease","ASP61590.1","CDO30_25425","gene-CDO30_RS25450",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-705584-T","pSymB","705584",705584,706834,0.089,0.102,"LOW","NP_437129.1","class II aldolase","ASP62156.1","CDO30_28570","gene-CDO30_RS28600",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-705623-A","pSymB","705623",705584,706834,0.277,0.244,"LOW","NP_437129.1","class II aldolase","ASP62156.1","CDO30_28570","gene-CDO30_RS28600",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-714860-T","pSymB","714860",714748,714915,0.068,0.056,"MODERATE","NP_437137.1","hypothetical protein","ASP62162.1","CDO30_28610","gene-CDO30_RS28640",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-716141-C","pSymB","716141",NA,NA,0.148,0.08,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS28655-gene-CDO30_RS28660",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-717535-T","pSymB","717535",717514,718038,0.063,0.101,"MODIFIER","NP_437142.1","hypothetical protein","ASP62166.1","CDO30_28640","gene-CDO30_RS28665-gene-CDO30_RS34185",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-717932-C","pSymB","717932",717514,718038,0.053,0.057,"MODERATE","NP_437142.1","hypothetical protein","ASP62166.1","CDO30_28640","gene-CDO30_RS34185",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-718037-C","pSymB","718037",717514,718038,0.074,0.068,"MODIFIER","NP_437142.1","hypothetical protein","ASP62166.1","CDO30_28640","gene-CDO30_RS34185-gene-CDO30_RS28675",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-718209-G","pSymB","718209",718183,718632,0.058,0.056,"LOW","NP_437143.1","hypothetical protein","ASP62167.1","CDO30_28645","gene-CDO30_RS28675",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-718465-T","pSymB","718465",718183,718632,0.251,0.27,"LOW","NP_437143.1","hypothetical protein","ASP62167.1","CDO30_28645","gene-CDO30_RS28675",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-718923-G","pSymB","718923",718644,719255,0.089,0.079,"LOW","NP_437144.2","hypothetical protein","ASP63060.1","CDO30_28650","gene-CDO30_RS28680",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-719434-T","pSymB","719434",719276,719692,0.162,0.124,"LOW","NP_437145.1","hypothetical protein","ASP62168.1","CDO30_28655","gene-CDO30_RS28685",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-719575-C","pSymB","719575",719276,719692,0.152,0.18,"LOW","NP_437145.1","hypothetical protein","ASP62168.1","CDO30_28655","gene-CDO30_RS28685",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-719784-A","pSymB","719784",NA,NA,0.073,0.056,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS28685-gene-CDO30_RS28695",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-719875-C","pSymB","719875",NA,NA,0.11,0.079,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS28685-gene-CDO30_RS28695",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-721146-G","pSymB","721146",721116,721334,0.325,0.337,"LOW","NP_437147.1","transcriptional regulator","ASP62171.1","CDO30_28675","gene-CDO30_RS28705",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-721149-G","pSymB","721149",721116,721334,0.241,0.225,"LOW","NP_437147.1","transcriptional regulator","ASP62171.1","CDO30_28675","gene-CDO30_RS28705",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-721957-G","pSymB","721957",721473,722021,0.089,0.079,"MODERATE","NP_437148.1","hypothetical protein","ASP62172.1","CDO30_28680","gene-CDO30_RS28710",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-723746-A","pSymB","723746",722184,723779,0.251,0.213,"LOW","NP_437149.1","peptide ABC transporter substrate-binding protein","ASP62173.1","CDO30_28685","gene-CDO30_RS28715",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-723872-T","pSymB","723872",723786,724763,0.251,0.27,"LOW","NP_437150.1","ABC transporter permease","ASP62174.1","CDO30_28690","gene-CDO30_RS28720",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-724670-C","pSymB","724670",723786,724763,0.215,0.202,"LOW","NP_437150.1","ABC transporter permease","ASP62174.1","CDO30_28690","gene-CDO30_RS28720",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-724890-G","pSymB","724890",724777,725652,0.084,0.079,"MODERATE","NP_437151.1","ABC transporter permease","ASP62175.1","CDO30_28695","gene-CDO30_RS28725",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-724963-G","pSymB","724963",724777,725652,0.094,0.112,"MODERATE","NP_437151.1","ABC transporter permease","ASP62175.1","CDO30_28695","gene-CDO30_RS28725",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-725026-T","pSymB","725026",724777,725652,0.063,0.067,"MODERATE","NP_437151.1","ABC transporter permease","ASP62175.1","CDO30_28695","gene-CDO30_RS28725",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-726545-C","pSymB","726545",725649,727322,0.175,0.182,"LOW","NP_437152.1","ABC transporter ATP-binding protein","ASP62176.1","CDO30_28700","gene-CDO30_RS28730",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-726548-G","pSymB","726548",725649,727322,0.074,0.08,"LOW","NP_437152.1","ABC transporter ATP-binding protein","ASP62176.1","CDO30_28700","gene-CDO30_RS28730",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-726560-G","pSymB","726560",725649,727322,0.085,0.091,"LOW","NP_437152.1","ABC transporter ATP-binding protein","ASP62176.1","CDO30_28700","gene-CDO30_RS28730",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-726569-A","pSymB","726569",725649,727322,0.116,0.136,"LOW","NP_437152.1","ABC transporter ATP-binding protein","ASP62176.1","CDO30_28700","gene-CDO30_RS28730",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-726722-T","pSymB","726722",725649,727322,0.497,0.449,"LOW","NP_437152.1","ABC transporter ATP-binding protein","ASP62176.1","CDO30_28700","gene-CDO30_RS28730",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-726724-A","pSymB","726724",725649,727322,0.283,0.303,"MODERATE","NP_437152.1","ABC transporter ATP-binding protein","ASP62176.1","CDO30_28700","gene-CDO30_RS28730",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-726947-C","pSymB","726947",725649,727322,0.132,0.136,"LOW","NP_437152.1","ABC transporter ATP-binding protein","ASP62176.1","CDO30_28700","gene-CDO30_RS28730",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-727406-T","pSymB","727406",NA,NA,0.058,0.057,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS28730-gene-CDO30_RS28735",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-727739-C","pSymB","727739",727410,728645,0.053,0.068,"LOW","NP_437153.1","capsule biosynthesis protein CapA","ASP62177.1","CDO30_28705","gene-CDO30_RS28735",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-727868-G","pSymB","727868",727410,728645,0.058,0.057,"MODERATE","NP_437153.1","capsule biosynthesis protein CapA","ASP62177.1","CDO30_28705","gene-CDO30_RS28735",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-728192-T","pSymB","728192",727410,728645,0.074,0.068,"LOW","NP_437153.1","capsule biosynthesis protein CapA","ASP62177.1","CDO30_28705","gene-CDO30_RS28735",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-72932-A","pSymB","72932",72887,73963,0.382,0.326,"MODERATE","NP_436545.1","ABC transporter ATP-binding protein","ASP61593.1","CDO30_25440","gene-CDO30_RS25465",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-729817-C","pSymB","729817",728762,730003,0.382,0.371,"LOW","NP_437154.1","peptidase T","ASP63061.1","CDO30_28710","gene-CDO30_RS28740","pepT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-730022-T","pSymB","730022",729894,730220,0.213,0.17,"MODIFIER","WP_017270003.1","hypothetical protein","ASP62178.1","CDO30_28715","gene-CDO30_RS28740-gene-CDO30_RS28750",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-730073-T","pSymB","730073",729894,730220,0.059,0.08,"MODIFIER","WP_017270003.1","hypothetical protein","ASP62178.1","CDO30_28715","gene-CDO30_RS28740-gene-CDO30_RS28750",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-730095-G","pSymB","730095",729894,730220,0.064,0.091,"MODIFIER","WP_017270003.1","hypothetical protein","ASP62178.1","CDO30_28715","gene-CDO30_RS28740-gene-CDO30_RS28750",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-730207-A","pSymB","730207",729894,730220,0.123,0.114,"MODIFIER","WP_017270003.1","hypothetical protein","ASP62178.1","CDO30_28715","gene-CDO30_RS28740-gene-CDO30_RS28750",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-731396-A","pSymB","731396",731358,733268,0.074,0.079,"MODERATE","NP_437156.1","DNA ligase D","ASP62180.1","CDO30_28730","gene-CDO30_RS28760","ligD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-731431-T","pSymB","731431",731358,733268,0.106,0.101,"MODERATE","NP_437156.1","DNA ligase D","ASP62180.1","CDO30_28730","gene-CDO30_RS28760","ligD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-731611-C","pSymB","731611",731358,733268,0.153,0.135,"MODERATE","NP_437156.1","DNA ligase D","ASP62180.1","CDO30_28730","gene-CDO30_RS28760","ligD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-731669-A","pSymB","731669",731358,733268,0.2,0.202,"LOW","NP_437156.1","DNA ligase D","ASP62180.1","CDO30_28730","gene-CDO30_RS28760","ligD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-731729-G","pSymB","731729",731358,733268,0.222,0.191,"MODERATE","NP_437156.1","DNA ligase D","ASP62180.1","CDO30_28730","gene-CDO30_RS28760","ligD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-731752-A","pSymB","731752",731358,733268,0.233,0.191,"MODERATE","NP_437156.1","DNA ligase D","ASP62180.1","CDO30_28730","gene-CDO30_RS28760","ligD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
