"region","gene_ID","RefSeq_ID","ncbi_func","traits","lines","overlap"
"pSymB","CDO30_25540","NP_436564.1","Lrp/AsnC family transcriptional regulator","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_25545","NP_437802.1","hypothetical protein","leaf","DZA","trait_only"
"pSymB","CDO30_25550","WP_017263939.1","hypothetical protein","leaf","DZA","trait_only"
"pSymB","CDO30_25555","NP_436565.1","dienelactone hydrolase family protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_25560","NP_436566.1","5-oxoprolinase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25565","YP_001312845.1","rRNA pseudouridine synthase","leaf","DZA","trait_only"
"pSymB","CDO30_25595","NP_436572.1","carboxymuconolactone decarboxylase family protein","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25600","NP_436573.1","RNA polymerase sigma factor SigJ","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25605","YP_001312837.1","hypothetical protein","leaf","DZA, A17","trait_only"
"pSymB","CDO30_25645","NP_436583.1","EamA/RhaT family transporter","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25665","NP_436587.1","replication initiation protein RepC","leaf","DZA","trait_only"
"pSymB","CDO30_25695","NP_436593.1","hypothetical protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_25700","NP_436594.1","alpha/beta hydrolase","leaf","DZA","trait_only"
"pSymB","CDO30_25705","NP_436595.1","GlxA family transcriptional regulator","leaf","DZA","trait_only"
"pSymB","CDO30_25785","NP_436609.1","sodium:alanine symporter family protein","leaf.plast","DZA","plast_only"
"pSymB","CDO30_25805","NP_436613.1","NAD(P)-dependent oxidoreductase","leaf.plast","A17","plast_only"
"pSymB","CDO30_25820","NP_436616.1","short-chain dehydrogenase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25825","NP_436617.1","sensor histidine kinase","leaf","DZA","trait_only"
"pSymB","CDO30_25830","NP_436618.1","DNA-binding response regulator","leaf","DZA","trait_only"
"pSymB","CDO30_25840","NP_436619.1","hemolysin D","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25850","NP_436621.1","metallophosphoesterase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25855","NP_436622.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25875","NP_436626.1","PepSY domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25885","NP_436628.1","protein-L-isoaspartate O-methyltransferase","leaf","DZA","trait_only"
"pSymB","CDO30_25905","YP_001312786.1","EEP domain-containing protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_25910","NP_436633.1","lysylphosphatidylglycerol synthetase family protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_25915","NP_436634.1","phospholipase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25920","NP_436635.1","pyruvate oxidase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25930","NP_436637.1","oxidoreductase","leaf","DZA","trait_only"
"pSymB","CDO30_25935","NP_436638.1","sensory rhodopsin transducer","leaf.plast","DZA","plast_only"
"pSymB","CDO30_25940","NP_436639.1","maltose alpha-D-glucosyltransferase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25945","NP_436640.1","LLM class F420-dependent oxidoreductase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25950","NP_436641.1","hydroxyglutarate oxidase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25955","NP_436642.1","sigma-54-dependent Fis family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25960","NP_436643.1","FAD-dependent oxidoreductase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25965","NP_436644.1","anion permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25970","YP_001312773.1","GntR family transcriptional regulator","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25975","NP_436646.1","FadR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25985","NP_436648.1","peptide ABC transporter substrate-binding protein","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25990","NP_436649.1","ABC transporter permease","leaf.plast","A17","plast_only"
"pSymB","CDO30_26010","NP_436653.1","2-hydroxyacid dehydrogenase","leaf","DZA","trait_only"
"pSymB","CDO30_26020","NP_436655.1","dihydroxy-acid dehydratase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26025","NP_436656.1","amylo-alpha-1%2C6-glucosidase","leaf.plast","DZA","plast_only"
"pSymB","CDO30_26030","NP_436657.1","glycosyltransferase family 4 protein","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26040","NP_436658.1","RidA family protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26060","NP_436662.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26065","WP_013112340.1","hypothetical protein","leaf","A17","trait_only"
"pSymB","CDO30_26075","NP_436664.1","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26080","NP_436665.1","ABC transporter permease","leaf","DZA","trait_only"
"pSymB","CDO30_26090","YP_001312749.1","BMP family ABC transporter substrate-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26100","NP_436669.1","GntR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26115","NP_436672.1","dehydrogenase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_26120","NP_436673.1","GTP-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26130","NP_436675.1","aromatic acid decarboxylase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26135","NP_436676.1","UbiD family decarboxylase","leaf","DZA","trait_only"
"pSymB","CDO30_26140","NP_436677.1","amidohydrolase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26145","NP_436678.1","amidohydrolase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26150","NP_436679.1","DUF2243 domain-containing protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_26160","NP_436681.1","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26165","NP_436682.1","ABC transporter permease","leaf","DZA","trait_only"
"pSymB","CDO30_26175","NP_436684.1","peptide ABC transporter substrate-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26195","NP_436688.1","FadR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26200","NP_436689.1","Hrp-dependent type III effector protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_26265","NP_436701.1","hypothetical protein","leaf","A17","trait_only"
"pSymB","CDO30_26270","NP_436702.1","DNA-binding response regulator","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26275","NP_436703.1","FIST signal transduction protein","leaf","DZA","trait_only"
"pSymB","CDO30_26280","NP_436704.1","hybrid sensor histidine kinase/response regulator","leaf","A17","trait_only"
"pSymB","CDO30_26285","NP_436705.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26295","NP_436707.1","quinoprotein dehydrogenase-associated SoxYZ-like carrier","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26305","NP_436709.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26325","NP_436713.1","PQQ-dependent dehydrogenase%2C methanol/ethanol family","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_26360","NP_436720.1","hypothetical protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_26365","NP_436721.1","ABC transporter substrate-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26385","NP_436725.1","multidrug ABC transporter permease","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26400","NP_436728.1","ribulose-phosphate 3-epimerase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26405","NP_436729.1","CbbX protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_26420","NP_436732.1","fructose-bisphosphate aldolase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26425","NP_436733.1","transketolase","leaf","DZA","trait_only"
"pSymB","CDO30_26435","NP_436735.1","fructose 1%2C6-bisphosphatase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26440","NP_436736.1","transcriptional regulator","leaf","A17","trait_only"
"pSymB","CDO30_26465","NP_436741.1","coenzyme PQQ synthesis protein E","leaf","DZA, A17","trait_only"
"pSymB","CDO30_26470","NP_436742.1","4-oxalocrotonate tautomerase","leaf","A17","trait_only"
"pSymB","CDO30_26545","YP_002122329.1","DUF4142 domain-containing protein","leaf","A17","trait_only"
"pSymB","CDO30_26600","NP_436766.1","ABC transporter ATP-binding protein","leaf","DZA","trait_only"
"pSymB","CDO30_26615","NP_436768.1","TIGR04290 family methyltransferase","leaf","DZA","trait_only"
"pSymB","CDO30_26640","NP_436773.1","glycosyl transferase","leaf","DZA, A17","trait_only"
"pSymB","CDO30_26645","NP_436774.1","CDP-paratose 2-epimerase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26650","NP_436775.1","UDP-glucose 4-epimerase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26660","YP_001312630.1","gfo/Idh/MocA family oxidoreductase","leaf.plast","A17","plast_only"
"pSymB","CDO30_26665","NP_436778.1","hypothetical protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_26670","NP_436779.1","inositol-3-phosphate synthase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26680","NP_436781.1","beta-xylosidase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26685","NP_436782.1","coenzyme F420 hydrogenase","leaf","DZA","trait_only"
"pSymB","CDO30_26710","NP_436787.1","adenylate/guanylate cyclase domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26715","NP_436788.1","GntR family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26720","NP_436789.1","dihydrodipicolinate synthase family protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26735","NP_436792.1","aldehyde dehydrogenase (NADP(+))","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26750","NP_436795.1","amino acid ABC transporter permease","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26760","NP_436797.1","amino acid dehydrogenase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26765","NP_436798.1","hydroxyproline-2-epimerase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_26775","NP_436800.1","trans-3-hydroxy-L-proline dehydratase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26780","NP_436801.1","osmotically inducible protein C","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26785","NP_436802.1","MFS transporter","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26805","NP_436805.1","3-keto-5-aminohexanoate cleavage enzyme","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26815","NP_436807.1","aspartate aminotransferase family protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_26870","NP_436818.1","S-adenosylhomocysteine deaminase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26875","NP_436819.1","permease","leaf.plast","A17","plast_only"
"pSymB","CDO30_26880","NP_436820.1","LacI family transcriptional regulator","leaf.plast","A17","plast_only"
"pSymB","CDO30_26890","NP_436822.1","C4-dicarboxylate ABC transporter substrate-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26895","NP_436823.1","DUF2188 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_26920","NP_436828.1","dihydrodipicolinate synthase family protein","leaf","A17","trait_only"
"pSymB","CDO30_26925","NP_436829.1","N-acetylneuraminate lyase","leaf","A17","trait_only"
"pSymB","CDO30_26930","NP_436830.1","adenylate/guanylate cyclase domain-containing protein","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_26960","NP_436838.1","dihydroxyacetone kinase subunit DhaK","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27015","NP_436848.1","TRAP transporter small permease","leaf.plast","DZA, A17","plast_only"
"pSymB","CDO30_27020","NP_436849.1","GntR family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27025","NP_436850.1","transcriptional regulator","leaf.plast","DZA","plast_only"
"pSymB","CDO30_27035","NP_436852.1","sugar ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27050","NP_436855.1","trehalose utilization protein ThuA","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27055","NP_436856.1","gfo/Idh/MocA family oxidoreductase","leaf.plast","DZA","plast_only"
"pSymB","CDO30_27065","WP_017264406.1","hypothetical protein","leaf","DZA","trait_only"
"pSymB","CDO30_27070","NP_436858.1","sulfatase","leaf.plast","DZA","plast_only"
"pSymB","CDO30_27075","NP_436859.2","transporter","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27085","WP_017264403.1","DUF2950 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27095","NP_436860.1","formylglycine-generating enzyme family protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_27100","NP_436861.2","alpha/beta hydrolase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27105","NP_436862.1","hypothetical protein","leaf.plast","DZA","plast_only"
"pSymB","CDO30_27115","NP_436864.1","MFS transporter","leaf.plast","DZA","plast_only"
"pSymB","CDO30_27140","NP_436868.1","twin-arginine translocation pathway signal protein","leaf.plast","DZA","plast_only"
"pSymB","CDO30_27150","NP_436870.1","AraC family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27185","NP_436876.1","DUF2291 domain-containing protein","leaf","A17","trait_only"
"pSymB","CDO30_27205","NP_436880.1","hypothetical protein","leaf","A17","trait_only"
"pSymB","CDO30_27215","NP_436882.1","hybrid sensor histidine kinase/response regulator","leaf","DZA","trait_only"
"pSymB","CDO30_27230","NP_436885.1","hypothetical protein","leaf.plast","DZA","plast_only"
"pSymB","CDO30_27235","NP_436886.1","hypothetical protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_27240","NP_436887.1","ion transporter","leaf","A17","trait_only"
"pSymB","CDO30_27255","NP_436890.2","iron ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27260","NP_436891.1","iron ABC transporter substrate-binding protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_27265","NP_436892.1","LacI family transcriptional regulator","leaf.plast","DZA","plast_only"
"pSymB","CDO30_27285","NP_436896.1","ABC transporter ATP-binding protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_27300","NP_436899.1","TRAP transporter small permease","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_27305","NP_436900.1","TRAP transporter substrate-binding protein DctP","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_27325","NP_436904.1","NAD-dependent succinate-semialdehyde dehydrogenase","leaf","DZA","trait_only"
"pSymB","CDO30_27330","NP_436905.1","aspartate aminotransferase family protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_27345","NP_436908.1","ABC transporter permease","leaf.plast","A17","plast_only"
"pSymB","CDO30_27360","NP_436911.1","hypothetical protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_27385","NP_437379.1","hypothetical protein","leaf","A17","trait_only"
"pSymB","CDO30_27395","NP_436917.1","Curdlan synthase","leaf","DZA","trait_only"
"pSymB","CDO30_27405","NP_436919.1","ribulose 1%2C5-bisphosphate carboxylase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27410","NP_436920.1","Hrp-dependent type III effector protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27415","NP_436921.1","dehydrogenase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27420","NP_436922.1","dehydrogenase","leaf.plast","A17","plast_only"
"pSymB","CDO30_27460","NP_436930.1","aldehyde dehydrogenase","leaf","A17","trait_only"
"pSymB","CDO30_27510","NP_436941.1","oxidoreductase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_27520","NP_436942.1","sn-glycerol-3-phosphate-binding periplasmic protein UgpB","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27525","NP_436943.1","sn-glycerol 3-phosphate ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27530","NP_436944.1","sn-glycerol 3-phosphate ABC transporter permease","leaf.plast","A17","plast_only"
"pSymB","CDO30_27535","NP_436945.1","sn-glycerol-3-phosphate import ATP-binding protein UgpC","leaf","DZA","trait_only"
"pSymB","CDO30_27555","NP_436949.1","aspartate aminotransferase family protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27560","NP_436950.1","NAD-dependent succinate-semialdehyde dehydrogenase","leaf","DZA","trait_only"
"pSymB","CDO30_27565","NP_436951.1","Lrp/AsnC family transcriptional regulator","leaf","DZA","trait_only"
"pSymB","CDO30_27570","YP_002824530.1","PLP-dependent aminotransferase family protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27580","NP_436954.1","ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB","leaf.plast","A17","plast_only"
"pSymB","CDO30_27585","NP_436955.1","ectoine/hydroxyectoine ABC transporter permease subunit EhuC","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27590","NP_436956.1","ectoine/hydroxyectoine ABC transporter permease subunit EhuD","leaf","DZA","trait_only"
"pSymB","CDO30_27595","NP_436957.1","ectoine utilization protein EutA","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_27600","NP_436958.1","hydroxyectoine utilization dehydratase EutB","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27605","NP_436959.1","cyclodeaminase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27610","NP_436960.1","ectoine hydrolase DoeA","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27620","NP_436962.1","NarK/NasA family nitrate transporter","leaf","A17, DZA","trait_only"
"pSymB","CDO30_27625","NP_436963.1","FadR family transcriptional regulator","leaf","A17, DZA","trait_only"
"pSymB","CDO30_27630","NP_436964.1","ABC transporter substrate-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27640","NP_436966.1","TRAP transporter large permease","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_27645","NP_436967.1","L-idonate 5-dehydrogenase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_27650","NP_436968.1","mannonate dehydratase","leaf","DZA","trait_only"
"pSymB","CDO30_27655","NP_436969.1","GGDEF-domain containing protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_27720","NP_436982.1","N-acetylglucosaminyltransferase","leaf.plast","A17","plast_only"
"pSymB","CDO30_27725","NP_436983.1","DUF995 domain-containing protein","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_27730","NP_436984.1","beta-mannosidase","leaf","DZA","trait_only"
"pSymB","CDO30_27745","NP_436987.1","ROK family protein","leaf","DZA","trait_only"
"pSymB","CDO30_27750","NP_436988.1","osmoprotectant NAGGN system M42 family peptidase","leaf","A17","trait_only"
"pSymB","CDO30_27835","NP_437003.1","N-acetylglutaminylglutamine amidotransferase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27840","NP_437004.1","N-acetylglutaminylglutamine synthetase","leaf","DZA","trait_only"
"pSymB","CDO30_27845","NP_437005.1","transcriptional regulator","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_27850","NP_437006.1","autoinducer 2 ABC transporter substrate-binding protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_27855","NP_437007.1","sugar ABC transporter ATP-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27870","NP_437010.1","sugar phosphate isomerase/epimerase","leaf","DZA","trait_only"
"pSymB","CDO30_27875","NP_437011.1","carbohydrate kinase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_27885","YP_002122330.1","DUF899 domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27895","NP_437014.1","oxidoreductase","leaf","DZA","trait_only"
"pSymB","CDO30_27900","NP_437015.1","3-ketoacyl-ACP reductase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27905","NP_437016.1","LysR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27915","NP_437017.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27925","NP_437018.1","GMC family oxidoreductase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27930","NP_437019.1","carbohydrate kinase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_27940","NP_437021.1","glycerol-3-phosphate dehydrogenase/oxidase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27945","NP_437022.1","aldo/keto reductase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27950","NP_437023.2","transcriptional regulator","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_27955","NP_437024.1","ABC transporter permease","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27960","NP_437025.1","ribose import ATP-binding protein RbsA 2","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_27970","NP_437027.1","trifolitoxin immunity protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27975","NP_437028.1","L-arabinose ABC transporter permease AraH","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27980","NP_437029.1","arabinose import ATP-binding protein AraG","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27985","NP_437030.1","arabinose ABC transporter substrate-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_27990","NP_437031.1","FadR family transcriptional regulator","leaf.plast","A17","plast_only"
"pSymB","CDO30_27995","WP_018497475.1","galactonate dehydratase","leaf.plast","A17","plast_only"
"pSymB","CDO30_28000","NP_437033.1","short-chain dehydrogenase","leaf.plast","A17","plast_only"
"pSymB","CDO30_28010","NP_437034.1","hypothetical protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_28015","NP_437035.1","chemotaxis protein CheB","leaf.plast","A17","plast_only"
"pSymB","CDO30_28020","NP_437036.1","chemotaxis protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28025","YP_001314416.1","response regulator","leaf","DZA","trait_only"
"pSymB","CDO30_28135","NP_437053.1","sugar phosphate isomerase/epimerase","leaf","DZA","trait_only"
"pSymB","CDO30_28140","NP_437054.1","dehydrogenase","leaf","A17","trait_only"
"pSymB","CDO30_28145","NP_437055.1","DUF2264 domain-containing protein","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_28150","NP_437056.1","LacI family transcriptional regulator","leaf","A17","trait_only"
"pSymB","CDO30_28165","NP_437058.1","adenylate/guanylate cyclase domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28215","NP_437065.1","DUF982 domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28245","WP_013850963.1","hypothetical protein","leaf.plast","DZA","plast_only"
"pSymB","CDO30_28250","WP_012115592.1","hypothetical protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_28275","WP_014527394.1","hypothetical protein","leaf","DZA","trait_only"
"pSymB","CDO30_28300","WP_014527389.1","DUF454 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_28320","NP_437079.1","copper chaperone","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_28325","YP_001313738.1","glycosyl transferase","leaf.plast","DZA, A17","plast_only"
"pSymB","CDO30_28330","WP_003526551.1","nucleoside-diphosphate sugar epimerase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28335","NP_437082.1","glycosyltransferase family 92 protein","leaf.plast","DZA","plast_only"
"pSymB","CDO30_28345","NP_437083.1","3-deoxy-manno-octulosonate cytidylyltransferase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28355","NP_437085.1","glycosyl transferase","leaf.plast","DZA","plast_only"
"pSymB","CDO30_28365","NP_437087.1","glycosyltransferase","leaf","DZA","trait_only"
"pSymB","CDO30_28370","YP_001313730.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_28375","NP_437089.1","KpsF/GutQ family sugar isomerase","leaf","DZA","trait_only"
"pSymB","CDO30_28380","NP_437090.1","acyltransferase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28385","NP_437091.1","hypothetical protein","leaf.plast","DZA","plast_only"
"pSymB","CDO30_28395","NP_437093.2","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28400","NP_437094.1","hypothetical protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_28405","YP_001313723.1","membrane assembly protein AsmA","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28410","NP_437097.1","LacI family transcriptional regulator","leaf","DZA","trait_only"
"pSymB","CDO30_28415","NP_437098.2","fatty acid desaturase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_28420","NP_437099.1","Rieske family ferredoxin","leaf","DZA","trait_only"
"pSymB","CDO30_28425","NP_437100.1","ferredoxin reductase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_28430","NP_437101.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28495","YP_001313710.1","RkpR%2C polysaccharide export protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28500","NP_437115.1","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28505","YP_001313708.1","sugar ABC transporter","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28510","NP_437117.1","cell surface protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28610","NP_437137.1","hypothetical protein","leaf","DZA","trait_only"
"pSymB","CDO30_28655","NP_437145.1","hypothetical protein","leaf","DZA","trait_only"
"pSymB","CDO30_28680","NP_437148.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28690","NP_437150.1","ABC transporter permease","leaf.plast","A17","plast_only"
"pSymB","CDO30_28695","NP_437151.1","ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_28700","NP_437152.1","ABC transporter ATP-binding protein","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_28705","NP_437153.1","capsule biosynthesis protein CapA","leaf","A17","trait_only"
"pSymB","CDO30_28730","NP_437156.1","DNA ligase D","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_28750","WP_014527326.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_28755","NP_437159.1","nuclease","leaf, leaf.plast","A17, DZA","both_traits"
